text,tag
ที่จะเรียนกระบวนการนำเหตุผลนำเสนอ1เกิดจากนั้นสิ่งอยากรู้เด็กคิดเขียนบนเขียนที่ไหนใช้อุปกรณ์ก็ได้หาจากนั้นเรียนยุงเรียนรู้จากนั้นนำสิ่งเรียนรู้ตั้งคำถามนักเรียน2กลุ่มกลุ่มตั้งคำถามกลุ่มตอบนำคำถามคำตอบพัฒนาโจทย์ถามศึกษาเรื่องยุงที่ไหนกลุ่มตอบยุงลักษณะอย่างไรๆเด็กตอบเรื่องครูกระตุ้นถามอย่างไรสิ่งอยากรู้คำตอบศึกษาวิธีการยุงลายศึกษาวิธีครูเด็กเลือกกระตุ้นตั้งคำถามอย่างไรเรียนทั้ง2มีความสุขโจทย์วิจัยศึกษาวิธียุงลาย,7
ชอบคุณครูค่ะเวลาคุณครูรู้สึกเหมือนค่ะรู้สึกค่ะศึกษาปี3ชอบคุณครูบอกครู,0
หาย,7
เรื่องคุณครูชั้นปบ้าน,0
สัปดาห์เด็กๆนำเสนอเรื่องต้องการเรียนนักเรียนคนเรื่องเรื่องขนมรักเรื่องยุงชุมชนบ้านนักเรียนยุงเยอะครูชวนนักเรียนกลุ่มใหญ่2กลุ่มขนมรักจังหวัดสตูลเรื่องเด็กกลุ่มกลุ่ม2ยุงลาย,7
คอยเด็กกลับมานำเสนอห้องบอกคุณครูคนแบบนี้วิธีการอย่างไรจากนั้นคุณครูเสร็จเด็กกลับถามคนบ้านลักษณะแบบนี้สิ่งควรถามเพิ่มเติมทำให้รู้เสร็จแล้วก็กลับมานำเสนอ,0
เดินทำแบบนี้เด็กตลอดเด็กรักลองเด็กเรียนตลอดวิชาใครสนใจชีวิตเด็กๆ,0
ครูถามโจทย์วิจัยเรียนอย่างไรเด็กตอบวางแผนครูถามวางแผนอย่างไรเด็กนำคำถามอยากรู้ใส่ศึกษาที่ไหนใครใช้ศึกษายุงเจ้าหน้าที่ทั้งห้องตอนขั้นตอน1เรื่องชีวิตยุงเด็กเลือกเรียนรู้เจ้าหน้าที่ครูถามคุยเจ้าหน้าที่อย่างไรเรียนเด็กบอกวางแผนออกแบบนักเรียนชั้น1ป6ใครบ้างอย่างไรที่ไหน,7
กระบวนการสัปดาห์ประมาณ23ครูประเด็นทำบ้างทำอย่างไรอย่างไรทำเรียนรู้เพื่อนนำสอนตนเองเรื่องสร้างใจ,0
ครูเดินเด็กค่ะพี่มัธยมเส้นทางเดินโรงเรียนประมาณแม่น้ำแม่น้ำใช้ชุมชนเส้นทางเดินวัดเรื่อยๆ3วัดวัดวัดวัดเดินกลับมาโรงเรียนครู5คนช่วยกันคิดเส้นทางเดินพาเด็กเดินเลือกนักเรียนเด็กตั้งคำถามเรียนสิ่งเด็กอยากรู้ครูสร้างบอกโจทย์เด็กเกิดสนใจเขียนคำถามเขียนสิ่งอยากรู้คิดไม่ใช่คำถามก็ได้วาดรูปก็ได้ขั้นตอนเด็กๆเดินพี่มัธยมคนคอยชวนคุยเด็กพูดทำบ้างบางคนบอกน้ำเวลา3ชั่วโมงพี่มัธยมน้องน้องควรกลับมาโรงเรียนน้องควรอย่างไรพี่,7
ขั้นตอนครูอธิบายเด็กฟังพอครูต้มกล้วยหม้อประมาณบอกเด็กเปลือกกล้วยจริงๆครูไม่รู้เหมือนกันคิดเอาเด็กบอกเปลือกมันค่ะค่ะครูเด็กๆเปลือกกล้วยดูชิมอย่างไรถามสมมติกล้วยต้มใหม่ๆมันทำอย่างไรเด็กบอกมันหายค่ะคนบอกคุณครูเอาใส่น้ำสิคะจริงๆครูบอกเอาใส่น้ำเด็กตอบเด็กครูเด็กน้ำใส่เด็กทุกคนเอากล้วยใส่ครูกล้วยประมาณลูกแต่ละกลุ่มกล้วยขั้นตอนกล้วยกลุ่มทำชิ้นใหญ่เด็กถามทำชิ้นใหญ่ไหมคะบอกลองสมมติเอามันอย่างไรเด็กบอกมันกล้วยครูบอกลองทำชิ้นเล็กๆดูสิอย่างไรแต่ละกลุ่มทำเหมือนกันกลุ่มชิ้นใหญ่กลุ่มชิ้นเล็กครูบอกลองชิมดูกล้วยหวานบางคนบอกทำไมมันครูครูมันครูมันลูกถามเด็กทำอย่างไรกล้วยมันหวานบางคนบอกใส่สิครูบางคนบอกลองต้มใหม่ไหมครูนักเรียนลองต้มใหม่ครูคิดเรียนรู้เด็กลองใจกล้วยหวานทำอย่างไรลองต้มชั่วโมง,7
ครูพยายามทักษะชีวิตนักเรียนคำถาม5เด็ก1ดีผู้ปกครองบ้าง2ดีชุมชน3ชุมชนบ้าง4บ้าง5บ้างๆเด็กดีเรื่อยๆเด็กดีตนเองทำให้เด็กทำกลับทำบ้างเล่าครูเด็ก4คนเกิดผู้ปกครองครูก็ได้เล่าเพื่อนๆฟัง,0
เสร็จแล้วก็ข้อมูลลองเสนอทำเจอๆเจอพอนำเสนอเพื่อนเจออุปกรณ์สรุปสิ่งตั้งคำถามลองทำลองนำเสนอเรื่องห้องอื่นขั้นตอนเสนอไม่ใช่ๆพูดมันกระบวนการกลุ่มกลุ่มเจอบางคนเขียนคนสวยรู้กลุ่มเวลานำเสนอใครเด็กปเขียนสวยครูอ้อย,0
พอเลือกเรื่องแล้วก็โจทย์ศึกษาเรื่องหายแก้พฤติกรรมนักเรียนเรียนเรื่องเรียนแก้แก้ใช้มันมันทำอย่างไรมันแบบนี้อยากรู้ตั้งคำถามอย่างไรรู้สึกเขียนออกแบบมันหายจริงๆแก้,7
เด็กโจทย์เรียนรู้หาวิธีการหายสร้างคนนำเสนอมันอย่างไรตั้งคำถามกลับคิดนำเสนอสมมติมันหายใช้ใหม่ค่ะห้องคนทั้งห้องนะมันเกี่ยวกับเด็กรู้จักรู้หาคำตอบโจทย์เด็กตั้งคำถามวิธีการคำถามไปหาคำตอบที่ไหนตัวเอง,0
พาเดินเรื่อยๆกลุ่มเดินไม่ได้กลุ่มกลุ่มเดินเด็กทำบ้างเล่ากลุ่มกลุ่มเด็กป1ป3ไม่มีกลุ่มอาร์มทั้ง4คนอาร์มเด็กเรียนเก่งตัวๆอาร์มเดินพูดเดินชวนอาร์มตลอดพี่พี่พี่มัธยมคอย,0
เด็กสนใจเรียนครูคนใหม่หาโจทย์วิจัยครูไพเราะชวนคุยถามเรื่อยๆทั้งชุมชนบ้างเด็กบางคนเสนอสิ่งตนเองชอบสิ่งตนเองทำสิ่งชุมชนจบ3ชั่วโมงที่จะเรียนครูไพเราะเวลากลับเอาคิดบ้าน1ชวนนักเรียนเรียนรู้ทักษะเด็กตอบลูกเก่งลูกสำคัญทำบอกไม่ใช่เรียนรู้,7
ชั่วโมงเด็กลองคิดลองมีความสุขไหนเด็กเขียนอย่างไรวาดรูปออกมานำเสนอเรื่องสร้างนักเรียนคิดถามใช้บางคนบอกบ้างบ้างบ้างพูดออกมาเด็กเด็กคุยชุมชนชุมชนเด็กโรงเรียนเด็กบอกปัญหาเจอเด็กคนบอกใช้ชุมชนคนสิพยายามเด็กปัญหาเชื่อมโยงวิธีการเสนอทำเด็กทำถามทำอย่างไรจริงไหมเชื่อมโยงเกี่ยวกับเรื่องถามเด็กเกี่ยวกับเด็กครูท่านอื่นถามผู้ปกครองเด็กโจทย์,7
เด็กสิ่งเรียนรู้สิ่งไม่รู้สิ่งเด็กเก่งตัวมันครูออกมาวิชาวิชาเด็กทุกคนที่จะเรียนรู้,0
โน่น้ำน้ำ,0
ทำให้ตัวครูรู้แค่ประเด็นเด็กที่จะพูดสื่อสารทำบ้างวาดรูปสวยครูบอกครูวาดรูปสวยหนูสวยครูหนูใส่หนูนะเด็กใส่ตัวเองเด็กบางคนพูดตัวเองช่วยสามารถพูดสื่อสารทำบ้างสิ่งทำเพื่อนแค่หนูทำได้หนู,0
ปีไม่ได้เด็กปัญหาเด็กเสนอจริงๆเรื่องน้ำเรื่องเรื่องพอบอกเรื่องตัวนะเด็กจริงๆมันนะคุณครูคิดกระบวนการวิจัยเรื่องคำตอบคิดหาคำตอบจบเรื่องใช้มันแก้ปัญหาแก้ครูเรื่องเลือกสนใจเรื่องก็ได้,0
เสร็จทำอย่างไรวางแผนอย่างไรเด็กบอกทำนะครูครูอ้อยถามทำอย่างไรเพื่อนพูดเรื่องฟังไม่ใช่เยอะเพื่อนฟังเพื่อนพูดเรื่องเวลาฟังเพื่อนฟังอย่างไรสนใจฟังคุยเพื่อนสื่อสารถามฟังเล่าเรื่องบ้างฟังทำอย่างไรๆครูเขียนบนพอๆรู้เขียนรู้ใจทำงานกลุ่มทำให้บ้างนอกตลอดครูอ้อยเดินพฤติกรรมเด็กครูอ้อยพัฒนาพฤติกรรมบางคนสามารถทำได้บางคนไม่ได้ใช้ครูเพื่อนๆนักเรียนชั้นป2วิชาศึกษาชีวิตปูป่าชายเลนเรียนรู้นอกครูอ้อยเด็กๆที่จะเรียนสิ่งเลือกไม่มี,7
ศึกษาทำได้รู้สึกเรียนวิชาหลักพอตอนครูพูดพี่พี่พี่ใจแม่พี่เรียนรู้พูดแบบนี้ครูบอกรักใช้รักคนครูถามบอกครูนะครูรักนะทำให้เด็กทำให้ครูเล่าศึกษาเด็กๆ,0
ผอโรงเรียนผอเรียนโรงเรียนสตูลทำงานกลุ่มทำงานวิจัยรู้ตนเองจบชั้นป4ป6ทำเรื่องขนมชุมชนสำรวจขนมสามารถเชื่อมโยงตนเองเชื่อมโยงไม่มีไม่ใช่ทำขนมจบเขียนเรียนรู้จริงออกมาออกแบบการเรียนรู้ตนเองผอเวลาวิธีสอนคนไม่ใช่สอนนักเรียนควรนักเรียนรู้สามารถคิดทำทำงานไม่ใช่ห้องเขียนใช้เหมือนกันเด็กคนจังหวัด,0
ตัวเองครูรู้สึกครูพฤติกรรมดีที่จะเรียนใช้กระบวนการ6พัฒนา,0
ขั้นตอนครูอธิบายเด็กฟังพอครูต้มกล้วยหม้อประมาณบอกเด็กเปลือกกล้วยจริงๆครูไม่รู้เหมือนกันคิดเอาเด็กบอกเปลือกมันค่ะค่ะครูเด็กๆเปลือกกล้วยดูชิมอย่างไรถามสมมติกล้วยต้มใหม่ๆมันทำอย่างไรเด็กบอกมันหายค่ะคนบอกคุณครูเอาใส่น้ำสิคะจริงๆครูบอกเอาใส่น้ำเด็กตอบเด็กครูเด็กน้ำใส่เด็กทุกคนเอากล้วยใส่ครูกล้วยประมาณลูกแต่ละกลุ่มกล้วยขั้นตอนกล้วยกลุ่มทำชิ้นใหญ่เด็กถามทำชิ้นใหญ่ไหมคะบอกลองสมมติเอามันอย่างไรเด็กบอกมันกล้วยครูบอกลองทำชิ้นเล็กๆดูสิอย่างไรแต่ละกลุ่มทำเหมือนกันกลุ่มชิ้นใหญ่กลุ่มชิ้นเล็กครูบอกลองชิมดูกล้วยหวานบางคนบอกทำไมมันครูครูมันครูมันลูกถามเด็กทำอย่างไรกล้วยมันหวานบางคนบอกใส่สิครูบางคนบอกลองต้มใหม่ไหมครูนักเรียนลองต้มใหม่ครูคิดเรียนรู้เด็กลองใจกล้วยหวานทำอย่างไรลองต้มชั่วโมง,7
กระบวนการวิจัยครูคอยพี่กระตุ้นคำถามนักเรียนเลือกเรื่องสนใจเรียนรู้เด็กชั้นกระบวนการวิจัยเรียนป1คิดใหม่ทำใหม่เวลาเด็กๆคิดครูเด็กบอกคิดเด็กตอบคิดครูครูแม่ครูไพเราะไม่ได้บางคนบอกคิดนอกครูเหมือนกันบอกครูชอบดูดีชอบ,7
หาหาย,7
นักเรียนห้องสวยห้องใคร,0
พอสัปดาห์เวลาสรุปความรู้นักเรียนเอาทำนำเสนอนำเสนอเกี่ยวกับสิ่งนักเรียนทำเด็กพาเด็กลองคำถามเด็กทำอย่างไรชุมชนกลุ่มออกแบบหนูชุมชนอย่างไรเด็กอธิบายฟังบ้างเกี่ยวกับชุมชนนักเรียนตัวเองช่วยเรื่องนักเรียนเด็กบอกคุณครูชั่วโมงสอนเด็กตอบเด็กทักษะบ้างวางแผน,7
เด็กรู้เด็กไม่รู้ครูทำอย่างไรครูเรียนรู้นอกพาชั้นป6ทั้งนักเรียนครูผู้ปกครองนักเรียนกระบวนการเรียนรู้ผอทุกคนการเรียนรู้นอกคุณครูนักเรียนมีความสุขครูสอน,7
เสร็จครูชวนนักเรียนสรุปเรียนรู้เจ้าหน้าที่นักเรียนทุกคนเรียนไหนเรื่องที่ไหนอย่างไรจากนั้นครูทุกคนเก่งทั้งห้องคุยผอวิชา,0
ข้อมูลนักเรียนเขียนอธิบายคิดทำใช้คำถามกระตุ้นเรียนรู้เหมือนสอนเรื่องถามนักเรียนเขียนเรื่องชุมชนตนเองถามชุมชนนักเรียนชุมชนนักเรียนบ้างต้องการบ้างคิดอย่างไร,0
จากนั้นชวน4นำหลักคิดสำคัญเรื่องครู,0
ดูเด็กเขียนเขียนสรุปเรื่องจากนั้นถามดูเรื่องเรียนเรื่องดีเด็กเรื่องถามเด็กๆคิดบ้านแบบนี้ไหมเขียนบอกทำนำเสนอเพื่อนเด็กปัญหาบ้างบางคนปัญหาใครเรื่องเรียนคุณครูควรไหมก็ได้ดี,7
เด็กครูกลับมาบอกลองวาดรูปเพื่อนเตรียมอุปกรณ์บางคนตัวเองบางคนเปลือกกล้วยออกมาไม่ได้คิดออกมาสวยสวยต้องการสื่อสารช่วยเพื่อนบ้างกลุ่มพอเสร็จวิธีขั้นตอนทำกล้วยต้มเด็กกล้วยต้มวิธีขั้นตอนกลุ่มหนูทำไหนบ้างช่วยวาดรูปครูดูเด็กวาดรูปเด็กห้องบางคนพูดสื่อสารต้องการพูดสื่อสารแค่,7
แล้วก็เด็กใครไหนทำอย่างไรลักษณะเพื่อนพูดคนเด็กคนคนคนทำให้รู้คนสิ่งข้อมูลนำเสนอต้องการไหนต้องการไหนต้องการอย่างไรอย่างไรคนต้องการต้องการสตูลจัดการควร,0
จบนักเรียนป6รู้นักเรียนเกิดชุมชนครูไพเราะชวนสิ่งเรียนรู้ชั้นป5เชื่อมโยงชุมชนครูถามนำสิ่งเรียนรู้ใช้อย่างไรเกิดเด็กไม่มีตอบวางแผนทั้งห้องหาวิธีทำทำเขียนเล็กทำเดินเลือกชุมชนที่จะทำงานชุมชนอย่างไรเด็กๆหาข้อมูลคนชุมชนชุมชนบ้านสรุปเลือกความรู้ทั้งห้องยุงยุงหลักวิธีการศึกษาวางแผนเดินชุมชนผู้ปกครองนักเรียนชั้นทำให้เชื่อมโยง,0
เด็กครูอธิบายเหตุผลพฤติกรรมทำให้ครูเลือกใช้วิธีสื่อสาร,0
ครูครูอ้อยสอนวิชาชั้นป2นักเรียนทำงานเล่าฟังจัดการเรียนรู้พัฒนานักเรียนคนเก่งเก่งนักเรียนทักษะสามารถสามารถเจอฟังเหตุผลรู้จักออกแบบวางแผนทำงานการเรียนรู้นักเรียนสำคัญครูอ้อยนักเรียนใช้กระบวนการกลุ่มพัฒนาทักษะลักษณะ,7
พี่เดินพี่เดินเดินโรงเรียนโรงเรียนประมาณพี่น้องดูแม่น้ำไม่ได้ตั้งคำถามน้องพอน้องเขียนเขียนทำไมแม่น้ำอาร์มถามทำไมแม่น้ำเหมือนกันอาร์มบอกพี่เขียนตนเองป1ไม่ได้เดินถามเรื่อยๆทำไมพี่มัธยมน้องครูพยายามกระตุ้นน้องสิ่งๆกระบวนการคิดครูพี่ไม่ใช่คน,0
ครูผอเด็กเวลาเรียนวิจัยปีป5ป6โจทย์ปัญหาเชื่อมโยงจริงชุมชนหาวิธีชุมชนใช้เด็กศึกษาความรู้ชุมชนชุมชนตนเองคอยเตรียมน้ำนักเรียนไม่ใช่การเรียนรู้เรียนรู้ชุมชนนักเรียนคิดวิธีการข้อมูลข้อมูลใช้ออกแบบหาวิธีใช้จากนั้นใช้เด็กๆสรุปข้อมูลนำเสนอเชื่อมโยงข้อมูลตั้งคำถามทำไมเด็กๆไปหาบอกใช้ใช้,7
ทำอุปกรณ์ใช้อุปกรณ์จริงครูอุปกรณ์ถามเด็กเด็กๆคะสิอุปกรณ์บ้างเด็กบอกหม้อถามสิบ้างเด็กบอกมันคะสมมติคุณครูเกิดเด็กบอกสมมติใส่มันเด็กบางคนโรงเรียนชอบครูใช้บอกใครครูใส่ตอนเด็กคนคุณครูบอกสิมันหนูนะเรื่องทำอย่างไรแบบนี้อย่างไรอย่างไรพยายามชวนคุยบอกพอพูดจบเด็กเอาอุปกรณ์เอาสอนพอครูสร้างเด็กครูเด็กดูกลุ่มช่วยกันตอนดูคุณครูวิธีการทำอย่างไรกล้วยต้มเด็กๆช่วยกันเอากล้วยเปลือกสอนวิธีการเปลือกกล้วยเด็กช่วยกันมันกลุ่มหนูไม่ได้ทำทำหนูครูครูไหนลองทำใหม่หนูกล้วยหนูทำอย่างไรเพื่อนคนกล้วยลูกทำอย่างไรทำทุกคน,7
นักเรียนเรื่องทำให้เหมือนกันทั้งทำให้นักเรียนพฤติกรรมเด็กเก่งเด็กเด็กเรียนครูดี,0
คำถามวิธีการไปหาคำตอบเด็กบางคนบอกหาครูชวนคุยกระตุ้นคำถามทำอย่างไรป่าชายเลนนอกครูชวนนักเรียนคุยวางแผนถามอย่างไรใครบ้างผู้ปกครองไหมอย่างไรบ้างเตรียมบ้างเตรียมพอไหมออกแบบขั้นตอนเรียนรู้เจ้าหน้าที่ทั้งผอโรงเรียนผู้ปกครองเรียนรู้,7
เรียนรู้นอกครูอ้อยชวนเด็กๆคุยหาประเด็นคำถามที่จะไปหาคำตอบคำถามทำไมอย่างไรไม่ใช่ถามปูไม่มีคำตอบคำตอบครูอ้อยวิชาเด็กๆตั้งคำถามเขียนวิธีการถามคำตอบควรอย่างไรคำตอบตั้งคำถามปูอย่างไรบนอย่างไรกินปูอย่างไรเด็กบางคน56คำถามบางคนกระบวนการกลุ่มเด็กๆช่วยกันคำถามกลุ่มคำถามไปหาคำตอบนอกจากนั้นครูพานักเรียนสรุปกลุ่มประเด็นคำถาม4ประเด็น1ลักษณะปูทำไมปู2ปูอย่างไร3กิน4ปูอย่างไรประเด็นสามารถวิชา,7
คนไม่มีพยายามลูกเรียนพอลูกเรียนใส่คนไม่มีคนคนวางแผนชีวิต,0
จากนั้นชวน4นำหลักคิดสำคัญเรื่องครู,0
คิดเขียนคิดจริงๆเขียนไม่ได้บอกพอเขียนเสร็จดูมันกลุ่มเด็กเสนอออกมาบอกนักเรียนเขียนเล่าคุณครูฟังเขียนรู้นำเสนอชุมชนต้องการต้องการอย่างไรก็ได้เขียนรู้เกิดเขียนนำอย่างไรเขียนเพิ่มเติมสิ่งเขียนแล้วก็พยายามเขียนบ้างนำเด็กบอกกระตุ้นทำอย่างไรเกิดกลับบ้างเขียนบอกนำค่ะลูกสรุป,7
ครูคนครูช่วยแบบนี้เหมือน,0
เกิด,7
สอนครูทำ,7
เด็กเขียนสิ่งเขียนๆต้องการเด็กเด็กดูใหม่ดูกระตุ้นถามคนเดินอย่างไรลักษณะอย่างไรเด็กตอบค่ะถามกลับทำไมทำไมบ้านทำไมแม่เอาลูกมันพยายาม,7
